field_75038_b,rand,net/minecraft/world/gen/MapGenBase
field_150587_Y,savannaPlateau,net/minecraft/world/biome/BiomeGenBase
field_74314_A,keyBindJump,net/minecraft/client/settings/GameSettings
field_94054_b,particleTextureIndexX,net/minecraft/client/particle/EntityFX
field_94113_a,minecartContainerItems,net/minecraft/entity/item/EntityMinecartContainer
field_76052_e,versionStamp,net/minecraft/util/IntHashMap
field_151284_a,field_151284_a,net/minecraft/network/NetworkSystem$4
field_73219_j,field_73219_j,net/minecraft/world/gen/ChunkProviderGenerate
field_75643_f,update,net/minecraft/entity/ai/EntityMoveHelper
field_96686_a,theScoreboard,net/minecraft/scoreboard/ScoreObjective
CHAT_LINKS_PROMPT,CHAT_LINKS_PROMPT,net/minecraft/client/settings/GameSettings$Options
field_148593_a,field_148593_a,net/minecraft/client/audio/SoundManager$2$1
field_147015_w,lowerChestInventory,net/minecraft/client/gui/inventory/GuiChest
field_146362_s,copyLinkButtonText,net/minecraft/client/gui/GuiConfirmOpenLink
field_82248_d,spawnForced,net/minecraft/entity/player/EntityPlayer
field_150598_l,height_LowIslands,net/minecraft/world/biome/BiomeGenBase
field_151453_l,resourcePacks,net/minecraft/client/settings/GameSettings
field_110697_J,horseSaddleFront,net/minecraft/client/model/ModelHorse
field_146596_f,field_146596_f,net/minecraft/client/gui/GuiShareToLan
field_72816_b,chunkZ,net/minecraft/world/ChunkCache
field_74375_b,deltaY,net/minecraft/util/MouseHelper
field_153209_q,field_153209_q,net/minecraft/client/renderer/OpenGlHelper
field_150383_bp,cauldron,net/minecraft/init/Blocks
field_71303_e,percentDone,net/minecraft/server/MinecraftServer
field_110126_a,field_110126_a,net/minecraft/client/particle/EntityFootStepFX
field_148627_j,playingSoundPoolEntries,net/minecraft/client/audio/SoundManager
field_147931_b,field_147931_b,net/minecraft/client/renderer/entity/RenderItem$4
field_78519_o,fogColorGreen,net/minecraft/client/renderer/EntityRenderer
field_77356_a,protectionType,net/minecraft/enchantment/EnchantmentProtection
field_152310_f,field_152310_f,net/minecraft/client/gui/stream/GuiIngestServers
field_150034_b,field_150034_b,net/minecraft/block/BlockWorkbench
host,host,net/minecraft/realms/RealmsServerAddress
field_70509_j,minecartY,net/minecraft/entity/item/EntityMinecart
field_75395_b,theVillager,net/minecraft/entity/ai/EntityAILookAtVillager
field_70936_c,recipeList,net/minecraft/entity/NpcMerchant
field_71325_x,onlineMode,net/minecraft/server/MinecraftServer
field_150409_cd,dropper,net/minecraft/init/Blocks
field_148070_e,field_148070_e,net/minecraft/client/shader/ShaderLoader$ShaderType
field_72334_f,maxZ,net/minecraft/util/AxisAlignedBB
field_146293_o,labelList,net/minecraft/client/gui/GuiScreen
field_78557_a,frustum,net/minecraft/client/renderer/culling/ClippingHelper
HEAT_ICE,HEAT_ICE,net/minecraft/world/gen/layer/GenLayerEdge$Mode
field_71085_bR,field_71085_bR,net/minecraft/entity/player/EntityPlayer
field_75553_e,tickCounter,net/minecraft/village/VillageCollection
field_111120_a,minimumValue,net/minecraft/entity/ai/attributes/RangedAttribute
