field_96303_A,fancyStyling,net/minecraft/util/text/TextFormatting
field_96304_B,controlString,net/minecraft/util/text/TextFormatting
field_175747_C,colorIndex,net/minecraft/util/text/TextFormatting
$VALUES,$VALUES,net/minecraft/util/text/TextFormatting
BLACK,BLACK,net/minecraft/util/text/TextFormatting
DARK_BLUE,DARK_BLUE,net/minecraft/util/text/TextFormatting
DARK_GREEN,DARK_GREEN,net/minecraft/util/text/TextFormatting
DARK_AQUA,DARK_AQUA,net/minecraft/util/text/TextFormatting
DARK_RED,DARK_RED,net/minecraft/util/text/TextFormatting
DARK_PURPLE,DARK_PURPLE,net/minecraft/util/text/TextFormatting
GOLD,GOLD,net/minecraft/util/text/TextFormatting
GRAY,GRAY,net/minecraft/util/text/TextFormatting
DARK_GRAY,DARK_GRAY,net/minecraft/util/text/TextFormatting
BLUE,BLUE,net/minecraft/util/text/TextFormatting
GREEN,GREEN,net/minecraft/util/text/TextFormatting
AQUA,AQUA,net/minecraft/util/text/TextFormatting
RED,RED,net/minecraft/util/text/TextFormatting
LIGHT_PURPLE,LIGHT_PURPLE,net/minecraft/util/text/TextFormatting
YELLOW,YELLOW,net/minecraft/util/text/TextFormatting
WHITE,WHITE,net/minecraft/util/text/TextFormatting
OBFUSCATED,OBFUSCATED,net/minecraft/util/text/TextFormatting
BOLD,BOLD,net/minecraft/util/text/TextFormatting
STRIKETHROUGH,STRIKETHROUGH,net/minecraft/util/text/TextFormatting
UNDERLINE,UNDERLINE,net/minecraft/util/text/TextFormatting
ITALIC,ITALIC,net/minecraft/util/text/TextFormatting
RESET,RESET,net/minecraft/util/text/TextFormatting
field_96331_x,NAME_MAPPING,net/minecraft/util/text/TextFormatting
field_96330_y,FORMATTING_CODE_PATTERN,net/minecraft/util/text/TextFormatting
field_175748_y,name,net/minecraft/util/text/TextFormatting
field_96329_z,formattingCode,net/minecraft/util/text/TextFormatting
field_71494_a,field_71494_a,net/minecraft/crash/CrashReport$1
field_71496_a,field_71496_a,net/minecraft/crash/CrashReport$2
field_71490_a,field_71490_a,net/minecraft/crash/CrashReport$3
field_71492_a,field_71492_a,net/minecraft/crash/CrashReport$4
field_71486_a,field_71486_a,net/minecraft/crash/CrashReport$5
field_71488_a,field_71488_a,net/minecraft/crash/CrashReport$6
field_83004_a,field_83004_a,net/minecraft/crash/CrashReport$7
field_147150_a,LOGGER,net/minecraft/crash/CrashReport
field_71513_a,description,net/minecraft/crash/CrashReport
field_71511_b,cause,net/minecraft/crash/CrashReport
field_85061_c,systemDetailsCategory,net/minecraft/crash/CrashReport
field_71512_c,crashReportSections,net/minecraft/crash/CrashReport
field_71510_d,crashReportFile,net/minecraft/crash/CrashReport
field_85059_f,firstCategoryInCrashReport,net/minecraft/crash/CrashReport
field_85060_g,stacktrace,net/minecraft/crash/CrashReport
field_85080_a,field_85080_a,net/minecraft/crash/CrashReportCategory$1
field_147151_b,field_147151_b,net/minecraft/crash/CrashReportCategory$1
field_85063_a,field_85063_a,net/minecraft/crash/CrashReportCategory$2
field_175749_a,field_175749_a,net/minecraft/crash/CrashReportCategory$3
field_175754_a,field_175754_a,net/minecraft/crash/CrashReportCategory$6
field_175752_a,field_175752_a,net/minecraft/crash/CrashReportCategory$7
field_85092_a,key,net/minecraft/crash/CrashReportCategory$Entry
field_85091_b,value,net/minecraft/crash/CrashReportCategory$Entry
field_85078_a,crashReport,net/minecraft/crash/CrashReportCategory
field_85076_b,name,net/minecraft/crash/CrashReportCategory
field_85077_c,children,net/minecraft/crash/CrashReportCategory
field_85075_d,stackTrace,net/minecraft/crash/CrashReportCategory
field_71576_a,crashReport,net/minecraft/util/ReportedException
field_184877_a,NETTY_LEAK_DETECTION,net/minecraft/util/ChatAllowedCharacters
field_189861_b,ILLEGAL_STRUCTURE_CHARACTERS,net/minecraft/util/ChatAllowedCharacters
field_71567_b,ILLEGAL_FILE_CHARACTERS,net/minecraft/util/ChatAllowedCharacters
LINUX,LINUX,net/minecraft/util/Util$EnumOS
SOLARIS,SOLARIS,net/minecraft/util/Util$EnumOS
WINDOWS,WINDOWS,net/minecraft/util/Util$EnumOS
OSX,OSX,net/minecraft/util/Util$EnumOS
UNKNOWN,UNKNOWN,net/minecraft/util/Util$EnumOS
$VALUES,$VALUES,net/minecraft/util/Util$EnumOS
field_192061_a,parentId,net/minecraft/advancements/Advancement$Builder
field_192062_b,parent,net/minecraft/advancements/Advancement$Builder
field_192063_c,display,net/minecraft/advancements/Advancement$Builder
field_192064_d,rewards,net/minecraft/advancements/Advancement$Builder
field_192065_e,criteria,net/minecraft/advancements/Advancement$Builder
field_192066_f,requirements,net/minecraft/advancements/Advancement$Builder
field_192076_a,parent,net/minecraft/advancements/Advancement
field_192077_b,display,net/minecraft/advancements/Advancement
field_192078_c,rewards,net/minecraft/advancements/Advancement
field_192079_d,id,net/minecraft/advancements/Advancement
field_192080_e,criteria,net/minecraft/advancements/Advancement
field_192081_f,requirements,net/minecraft/advancements/Advancement
field_192082_g,children,net/minecraft/advancements/Advancement
field_193125_h,displayText,net/minecraft/advancements/Advancement
field_192091_a,LOGGER,net/minecraft/advancements/AdvancementList
field_192092_b,advancements,net/minecraft/advancements/AdvancementList
field_192093_c,roots,net/minecraft/advancements/AdvancementList
field_192094_d,nonRoots,net/minecraft/advancements/AdvancementList
field_192095_e,listener,net/minecraft/advancements/AdvancementList
field_192110_a,criteria,net/minecraft/advancements/AdvancementProgress
field_192111_b,requirements,net/minecraft/advancements/AdvancementProgress
field_193038_a,field_193038_a,net/minecraft/advancements/AdvancementRewards$1
field_193039_b,field_193039_b,net/minecraft/advancements/AdvancementRewards$1
field_193040_c,field_193040_c,net/minecraft/advancements/AdvancementRewards$1
field_192114_a,EMPTY,net/minecraft/advancements/AdvancementRewards
field_192115_b,experience,net/minecraft/advancements/AdvancementRewards
field_192116_c,loot,net/minecraft/advancements/AdvancementRewards
field_192117_d,recipes,net/minecraft/advancements/AdvancementRewards
field_193129_e,function,net/minecraft/advancements/AdvancementRewards
field_193130_A,USED_TOTEM,net/minecraft/advancements/CriteriaTriggers
field_193131_B,NETHER_TRAVEL,net/minecraft/advancements/CriteriaTriggers
field_192139_s,REGISTRY,net/minecraft/advancements/CriteriaTriggers
field_192121_a,IMPOSSIBLE,net/minecraft/advancements/CriteriaTriggers
field_192122_b,PLAYER_KILLED_ENTITY,net/minecraft/advancements/CriteriaTriggers
field_192123_c,ENTITY_KILLED_PLAYER,net/minecraft/advancements/CriteriaTriggers
field_192124_d,ENTER_BLOCK,net/minecraft/advancements/CriteriaTriggers
field_192125_e,INVENTORY_CHANGED,net/minecraft/advancements/CriteriaTriggers
field_192126_f,RECIPE_UNLOCKED,net/minecraft/advancements/CriteriaTriggers
field_192127_g,PLAYER_HURT_ENTITY,net/minecraft/advancements/CriteriaTriggers
field_192128_h,ENTITY_HURT_PLAYER,net/minecraft/advancements/CriteriaTriggers
field_192129_i,ENCHANTED_ITEM,net/minecraft/advancements/CriteriaTriggers
field_192130_j,BREWED_POTION,net/minecraft/advancements/CriteriaTriggers
field_192131_k,CONSTRUCT_BEACON,net/minecraft/advancements/CriteriaTriggers
field_192132_l,USED_ENDER_EYE,net/minecraft/advancements/CriteriaTriggers
field_192133_m,SUMMONED_ENTITY,net/minecraft/advancements/CriteriaTriggers
field_192134_n,BRED_ANIMALS,net/minecraft/advancements/CriteriaTriggers
field_192135_o,LOCATION,net/minecraft/advancements/CriteriaTriggers
field_192136_p,SLEPT_IN_BED,net/minecraft/advancements/CriteriaTriggers
field_192137_q,CURED_ZOMBIE_VILLAGER,net/minecraft/advancements/CriteriaTriggers
field_192138_r,VILLAGER_TRADE,net/minecraft/advancements/CriteriaTriggers
field_193132_s,ITEM_DURABILITY_CHANGED,net/minecraft/advancements/CriteriaTriggers
field_193133_t,LEVITATION,net/minecraft/advancements/CriteriaTriggers
field_193134_u,CHANGED_DIMENSION,net/minecraft/advancements/CriteriaTriggers
field_193135_v,TICK,net/minecraft/advancements/CriteriaTriggers
